Nom,Ville,Code Postal,Categorie
ATOS INFOGERANCE,VILLEURBANNE,69100,GE
CIRIL GROUP,VILLEURBANNE,69100,ETI
SOC DATAPHARM,PARIS 8,75008,PME
TELE GESTION INFORMATIQUE,PARIS 8,75008,PME
BROCADE FRANCE SAS,PARIS 8,75008,ETI
CIB INFORMATIQUE,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
EDIVOX,PARIS 8,75008,PME
TMS TELEMATIQUE SERVICE,PARIS 8,75008,PME
FIDUCIAL INFORMATIQUE,CRETEIL,94000,GE
VIDEOGRAMME DE L ELYSEES,PARIS 8,75008,PME
AICO,PARIS 8,75008,PME
APPLE EUROPE INC.,VILLEURBANNE,69100,PME
,CRETEIL,94000,PME
J. FRIISBERG AND PARTNERS,PARIS 8,75008,PME
ADISTA,PARIS 8,75008,ETI
MICRO INFORMATIQUE REALIS SERV,VILLEURBANNE,69100,PME
DRI EUROPE INC,PARIS 8,75008,PME
APLIC,PARIS 8,75008,PME
,PARIS 8,75008,PME
BLUE NILE INTERNATIONAL COMPANY LTD,PARIS 8,75008,PME
FOLIATEAM RHONE-ALPES,VILLEURBANNE,69100,ETI
AMITEL,VILLEURBANNE,69100,PME
PAIES ET GESTION INFORMATIQUE,CRETEIL,94000,ETI
CAPTB SERVICES,PARIS 8,75008,PME
EVERNEX INTERNATIONAL SAS,PARIS 8,75008,ETI
,PARIS 8,75008,PME
CITEL,PARIS 8,75008,PME
,CRETEIL,94000,PME
JAPAN SCIENCE & TECHNOLOGIE AGENCY,PARIS 8,75008,PME
SECURITE SYSTEME IDENTIFICATION,PARIS 8,75008,PME
PARORYS,PARIS 8,75008,ETI
J.C.L. CONSULTANTS,PARIS 8,75008,PME
,CRETEIL,94000,PME
MICRO INFORMATIQUE PROFESSIONNELLE,PARIS 8,75008,PME
ASS PROMOT TECHNIQ INFORM INDUST GRAPHIQ,PARIS 8,75008,PME
,PARIS 8,75008,PME
T WELADJI & MOUMI DEBAKONS INTER,PARIS 8,75008,PME
,PARIS 8,75008,PME
COGI,CRETEIL,94000,PME
NEOCOM MULTIMEDIA,PARIS 8,75008,PME
CONSEIL LOGISTIQUE ETUDE FORMATION POUR L'INVESTISSEMENT L'IMMOBILIER ET L'INFORMATIQUE,PARIS 8,75008,PME
YLANG TELECOM S.A.S.,PARIS 8,75008,PME
ECONOCOM-OSIATIS INGENIERIE,VILLEURBANNE,69100,GE
GROUPEMENT INTERNATIONAL D'INFORMATIQUE DE SANTE,PARIS 8,75008,PME
SCENARIO INFORMATIQUE CONSEIL,PARIS 8,75008,PME
M.M.CREATION,PARIS 8,75008,PME
GROUPE IMMOBILIER DES MATHURINS,PARIS 8,75008,PME
EXPERTECH SARL,PARIS 8,75008,PME
AD CONCEPT,PARIS 8,75008,PME
ACTANE,PARIS 8,75008,PME
CS INFORMATIC,PARIS 8,75008,PME
SETELINF,VILLEURBANNE,69100,PME
VIVERIS,VILLEURBANNE,69100,ETI
CABINET EXPERTISE CONSEIL AUDIT INFORMAT,PARIS 8,75008,PME
ASS DEVELOP PROTECTION EMPLOI DISTANCE,CRETEIL,94000,PME
,PARIS 8,75008,PME
TRIALOG,PARIS 8,75008,PME
I.B.COM,PARIS 8,75008,PME
,CRETEIL,94000,PME
HAUTE TECHNOLOGIE ET INTELLIGENCE,PARIS 8,75008,ETI
,PARIS 8,75008,PME
ALLIADIS,VILLEURBANNE,69100,ETI
T D F,PARIS 8,75008,ETI
T D F,PARIS 8,75008,ETI
ODYSSEY MEDIA AGENCY,PARIS 8,75008,PME
SOCIETE FRANCAISE DU RADIOTELEPHONE - SFR,PARIS 8,75008,GE
SOCIETE FRANCAISE DU RADIOTELEPHONE - SFR,VILLEURBANNE,69100,GE
D M S,PARIS 8,75008,PME
ASS EUROPE EGYPTE POUR INFORMATION ECON,PARIS 8,75008,PME
INFORMATIQUE TELEMATIQUE SERVICE,PARIS 8,75008,PME
ASSISTANC DISTRIBUT EN ELECTRONI INFORMA,PARIS 8,75008,PME
ORANGE BUSINESS SERVICES,VILLEURBANNE,69100,GE
,VILLEURBANNE,69100,PME
GENERATIONS APPLICATIONS INFORMATIQUES,PARIS 8,75008,ETI
,CRETEIL,94000,PME
ALTEN,VILLEURBANNE,69100,GE
ALTEN,VILLEURBANNE,69100,GE
ADIFRANCE,PARIS 8,75008,PME
FRACTAL INTERNATIONAL,PARIS 8,75008,PME
,PARIS 8,75008,PME
JURISMATIC,PARIS 8,75008,PME
DI.MA.INFO.,PARIS 8,75008,PME
SECIB,PARIS 8,75008,ETI
,VILLEURBANNE,69100,PME
CREATIVE SYSTEMS ENGINEERING,PARIS 8,75008,PME
TRIG,PARIS 8,75008,PME
ARC EN CIEL COMMUNICATION,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
DEVELOP INFORMAT APPLIQ GESTION SCIENTIF,VILLEURBANNE,69100,PME
GIE AXA GROUP OPERATIONS FRANCE,PARIS 8,75008,GE
OCE PRINT LOGIC TECHNOLOGIES SA,CRETEIL,94000,ETI
ITC,PARIS 8,75008,PME
,CRETEIL,94000,PME
EX2,PARIS 8,75008,PME
EUROSLIDE,PARIS 8,75008,PME
MC2I,PARIS 8,75008,ETI
OXYGEN,PARIS 8,75008,PME
PRODWARE SA,VILLEURBANNE,69100,ETI
PRODWARE SA,PARIS 8,75008,ETI
MEGASOFT RHONE ALPES,VILLEURBANNE,69100,PME
AIRMIS,PARIS 8,75008,ETI
AIRMIS,PARIS 8,75008,ETI
DAFKA,PARIS 8,75008,PME
PIXTEL,PARIS 8,75008,PME
ALL IN ONE,PARIS 8,75008,PME
MODIS FRANCE,VILLEURBANNE,69100,GE
MODIS FRANCE,VILLEURBANNE,69100,GE
BERTOLA FRANCE SA LOGISTIQ DISTRIBUTION,PARIS 8,75008,PME
WAVESTONE,VILLEURBANNE,69100,ETI
INSTIT RECHERCHE FORMAT APPLIQ ORGANIS,PARIS 8,75008,PME
CTS COMPUTERS AND TELECOMMUNICATIONS SYSTEMS,VILLEURBANNE,69100,PME
SMILE,VILLEURBANNE,69100,ETI
WORLDLINE,PARIS 8,75008,GE
WORLDLINE,VILLEURBANNE,69100,GE
GRAPHNET FRANCE,PARIS 8,75008,PME
NOVAXIOM DEVELOPPEMENT,VILLEURBANNE,69100,PME
ANDPE,PARIS 8,75008,PME
CAMTEK,PARIS 8,75008,PME
,PARIS 8,75008,PME
MISE,PARIS 8,75008,PME
ORANGE,VILLEURBANNE,69100,GE
ORANGE,PARIS 8,75008,GE
ORANGE,PARIS 8,75008,GE
ORANGE,PARIS 8,75008,GE
ORANGE,CRETEIL,94000,GE
ORANGE,CRETEIL,94000,GE
ORANGE,PARIS 8,75008,GE
ORANGE,PARIS 8,75008,GE
ORANGE,PARIS 8,75008,GE
ORANGE,PARIS 8,75008,GE
AZAGAYA INFORMATIQUE,PARIS 8,75008,PME
SESI-COMPTA,PARIS 8,75008,PME
FUTURE SOURCE FRANCE SARL,PARIS 8,75008,PME
ADNOV,PARIS 8,75008,ETI
OPEN,VILLEURBANNE,69100,ETI
,PARIS 8,75008,PME
SOLUTEC,PARIS 8,75008,ETI
SOLUTEC,VILLEURBANNE,69100,ETI
VORS CONSEIL,PARIS 8,75008,PME
GROUPE C,PARIS 8,75008,PME
FORUM DES DECIDEURS DE LA COTE D'AZUR,PARIS 8,75008,PME
COMPUTER ENGINEERING,PARIS 8,75008,PME
,PARIS 8,75008,PME
ACTION COMMUNICATION FILIERE ELECTRIQUE,VILLEURBANNE,69100,PME
,PARIS 8,75008,PME
ADD UP,PARIS 8,75008,PME
WEB VENTURE,PARIS 8,75008,PME
M.G.I. CONSULTANTS,PARIS 8,75008,PME
FLASH FINANCE SOCIETE DIFFUSION D INFO.,PARIS 8,75008,PME
KL,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
DALETH CONSEIL,PARIS 8,75008,PME
VITEL INTERNATIONAL,PARIS 8,75008,PME
VITEL INTERNATIONAL,PARIS 8,75008,PME
SAIC CONSEILS,PARIS 8,75008,PME
SERVICES PLUS,PARIS 8,75008,PME
SOFIGO SYSTEME,PARIS 8,75008,PME
ARAWAK,VILLEURBANNE,69100,PME
ORGANISATION RESTAU. COMMERCIAL SERVICES,PARIS 8,75008,PME
AMARRE SECURITE,PARIS 8,75008,PME
INSTI POUR COOPER SIENTIF INTERNATIONALE,PARIS 8,75008,PME
BPCE SOLUTIONS CREDIT,CRETEIL,94000,GE
INFO SECTORIS,PARIS 8,75008,PME
COMPTA INFORMATIQUE SERVICES,VILLEURBANNE,69100,PME
3 F,PARIS 8,75008,PME
STUDIO KP,PARIS 8,75008,PME
,VILLEURBANNE,69100,PME
SIGMA MEDIA,PARIS 8,75008,PME
N.P.M.S,PARIS 8,75008,PME
COMPUTACENTER FRANCE,VILLEURBANNE,69100,ETI
CORUS,VILLEURBANNE,69100,PME
TRANSEO,PARIS 8,75008,PME
SC EDITION ETUDE RECHERCHE INFORMAT JURI,PARIS 8,75008,PME
TELEMATIC CALL,PARIS 8,75008,PME
CIRCET,PARIS 8,75008,ETI
BUREAU ETUD SUPPORT TELEMATIQ PREVOYANCE,PARIS 8,75008,PME
AUDAX,PARIS 8,75008,PME
TSI INFORMATIQUE,VILLEURBANNE,69100,PME
TRSB DIGIWIN,PARIS 8,75008,ETI
ASI,PARIS 8,75008,ETI
AD GESTION,PARIS 8,75008,PME
AUDIOSERVE,PARIS 8,75008,PME
ASSISTANCE ETUDES CONSEILS INFORMATIQUES,PARIS 8,75008,PME
IDF RADIOCOM,PARIS 8,75008,PME
CONSEIL FORMATION ASSISTANCE,PARIS 8,75008,PME
VULCAIN,PARIS 8,75008,PME
TRANS DATA SYSTEM,PARIS 8,75008,PME
ALLOWIN SYSTEM,PARIS 8,75008,PME
,PARIS 8,75008,PME
